anio,hoja_excel,territorio_original,territorio_homologado_fino,territorio_homologado_agregado,nivel_territorial,territorio_padre,regla_territorio,actividad_original,actividad_homologada_fina,actividad_homologada_agregada,regla_actividad,huelgas,trabajadores_comprendidos,horas_hombre_perdidas,total_territorio_huelgas,total_territorio_trabajadores,total_territorio_horas,nota_fuente
2001,C-11,CHICLAYO,chiclayo,chiclayo,zona,,CHICLAYO -> zona en cuadro cruzado antiguo; sin region_padre inferida automaticamente,"ACTIV. INMOB., EMPRESARIALES Y DE ALQUILER",inmobiliario,inmobiliario,actividades inmobiliarias/alquiler -> inmobiliario,0.0,0.0,0.0,5.0,3633.0,281256.0,Cuadro cruzado actividad x territorio disponible en C-11.
2001,C-11,CHICLAYO,chiclayo,chiclayo,zona,,CHICLAYO -> zona en cuadro cruzado antiguo; sin region_padre inferida automaticamente,ADMINISTRA. PUBLICA Y DEFENSA,administra_publica_y_defensa,administra_publica_y_defensa,sin traduccion adicional; se normaliza el texto,0.0,0.0,0.0,5.0,3633.0,281256.0,Cuadro cruzado actividad x territorio disponible en C-11.
2001,C-11,TRUJILLO,trujillo,trujillo,zona,,TRUJILLO -> zona en cuadro cruzado antiguo; sin region_padre inferida automaticamente,"AGRICULTURA, GANDERIA, CAZA Y SILV.",agricultura,agricultura,agricultura -> agricultura,0.0,0.0,0.0,2.0,2738.0,64640.0,Cuadro cruzado actividad x territorio disponible en C-11.
2001,C-11,TRUJILLO,trujillo,trujillo,zona,,TRUJILLO -> zona en cuadro cruzado antiguo; sin region_padre inferida automaticamente,EXPLOTACION DE MINAS Y CANTERAS,mineria,mineria,minas y canteras -> mineria,1.0,67.0,536.0,2.0,2738.0,64640.0,Cuadro cruzado actividad x territorio disponible en C-11.
2001,C-11,TRUJILLO,trujillo,trujillo,zona,,TRUJILLO -> zona en cuadro cruzado antiguo; sin region_padre inferida automaticamente,INDUSTRIA MANU- FACTURERA,industria_manu_facturera,industria_manu_facturera,sin traduccion adicional; se normaliza el texto,1.0,2671.0,64104.0,2.0,2738.0,64640.0,Cuadro cruzado actividad x territorio disponible en C-11.
2001,C-11,TRUJILLO,trujillo,trujillo,zona,,TRUJILLO -> zona en cuadro cruzado antiguo; sin region_padre inferida automaticamente,CONSTRU- CCION,constru_ccion,constru_ccion,sin traduccion adicional; se normaliza el texto,0.0,0.0,0.0,2.0,2738.0,64640.0,Cuadro cruzado actividad x territorio disponible en C-11.
2001,C-11,TRUJILLO,trujillo,trujillo,zona,,TRUJILLO -> zona en cuadro cruzado antiguo; sin region_padre inferida automaticamente,HOTELES Y RESTAURAMTES,hoteles_y_restauramtes,hoteles_y_restauramtes,sin traduccion adicional; se normaliza el texto,0.0,0.0,0.0,2.0,2738.0,64640.0,Cuadro cruzado actividad x territorio disponible en C-11.
2001,C-11,TRUJILLO,trujillo,trujillo,zona,,TRUJILLO -> zona en cuadro cruzado antiguo; sin region_padre inferida automaticamente,"ACTIV. INMOB., EMPRESARIALES Y DE ALQUILER",inmobiliario,inmobiliario,actividades inmobiliarias/alquiler -> inmobiliario,0.0,0.0,0.0,2.0,2738.0,64640.0,Cuadro cruzado actividad x territorio disponible en C-11.
2001,C-11,TRUJILLO,trujillo,trujillo,zona,,TRUJILLO -> zona en cuadro cruzado antiguo; sin region_padre inferida automaticamente,ADMINISTRA. PUBLICA Y DEFENSA,administra_publica_y_defensa,administra_publica_y_defensa,sin traduccion adicional; se normaliza el texto,0.0,0.0,0.0,2.0,2738.0,64640.0,Cuadro cruzado actividad x territorio disponible en C-11.
2001,C-11,LIMA,lima_provincia,lima_provincia,regional,lima_provincia,LIMA -> region homologada lima_provincia en cuadro cruzado antiguo,"AGRICULTURA, GANDERIA, CAZA Y SILV.",agricultura,agricultura,agricultura -> agricultura,0.0,0.0,0.0,13.0,1315.0,74618.0,Cuadro cruzado actividad x territorio disponible en C-11.
2001,C-11,LIMA,lima_provincia,lima_provincia,regional,lima_provincia,LIMA -> region homologada lima_provincia en cuadro cruzado antiguo,EXPLOTACION DE MINAS Y CANTERAS,mineria,mineria,minas y canteras -> mineria,4.0,503.0,37528.0,13.0,1315.0,74618.0,Cuadro cruzado actividad x territorio disponible en C-11.
2001,C-11,LIMA,lima_provincia,lima_provincia,regional,lima_provincia,LIMA -> region homologada lima_provincia en cuadro cruzado antiguo,INDUSTRIA MANU- FACTURERA,industria_manu_facturera,industria_manu_facturera,sin traduccion adicional; se normaliza el texto,4.0,387.0,30442.0,13.0,1315.0,74618.0,Cuadro cruzado actividad x territorio disponible en C-11.
2001,C-11,LIMA,lima_provincia,lima_provincia,regional,lima_provincia,LIMA -> region homologada lima_provincia en cuadro cruzado antiguo,CONSTRU- CCION,constru_ccion,constru_ccion,sin traduccion adicional; se normaliza el texto,2.0,286.0,5536.0,13.0,1315.0,74618.0,Cuadro cruzado actividad x territorio disponible en C-11.
2001,C-11,LIMA,lima_provincia,lima_provincia,regional,lima_provincia,LIMA -> region homologada lima_provincia en cuadro cruzado antiguo,HOTELES Y RESTAURAMTES,hoteles_y_restauramtes,hoteles_y_restauramtes,sin traduccion adicional; se normaliza el texto,1.0,73.0,584.0,13.0,1315.0,74618.0,Cuadro cruzado actividad x territorio disponible en C-11.
2001,C-11,LIMA,lima_provincia,lima_provincia,regional,lima_provincia,LIMA -> region homologada lima_provincia en cuadro cruzado antiguo,"ACTIV. INMOB., EMPRESARIALES Y DE ALQUILER",inmobiliario,inmobiliario,actividades inmobiliarias/alquiler -> inmobiliario,1.0,30.0,240.0,13.0,1315.0,74618.0,Cuadro cruzado actividad x territorio disponible en C-11.
2001,C-11,LIMA,lima_provincia,lima_provincia,regional,lima_provincia,LIMA -> region homologada lima_provincia en cuadro cruzado antiguo,ADMINISTRA. PUBLICA Y DEFENSA,administra_publica_y_defensa,administra_publica_y_defensa,sin traduccion adicional; se normaliza el texto,1.0,36.0,288.0,13.0,1315.0,74618.0,Cuadro cruzado actividad x territorio disponible en C-11.
2001,C-11,CALLAO,callao,callao,regional,callao,CALLAO -> region homologada callao en cuadro cruzado antiguo,"AGRICULTURA, GANDERIA, CAZA Y SILV.",agricultura,agricultura,agricultura -> agricultura,0.0,0.0,0.0,1.0,19.0,912.0,Cuadro cruzado actividad x territorio disponible en C-11.
2001,C-11,CALLAO,callao,callao,regional,callao,CALLAO -> region homologada callao en cuadro cruzado antiguo,EXPLOTACION DE MINAS Y CANTERAS,mineria,mineria,minas y canteras -> mineria,0.0,0.0,0.0,1.0,19.0,912.0,Cuadro cruzado actividad x territorio disponible en C-11.
2001,C-11,CALLAO,callao,callao,regional,callao,CALLAO -> region homologada callao en cuadro cruzado antiguo,INDUSTRIA MANU- FACTURERA,industria_manu_facturera,industria_manu_facturera,sin traduccion adicional; se normaliza el texto,0.0,0.0,0.0,1.0,19.0,912.0,Cuadro cruzado actividad x territorio disponible en C-11.
