anio,categoria_homologada_agregada,huelgas,trabajadores_comprendidos,horas_hombre_perdidas
2004,junin,10.0,4629.0,68360.0
2004,la_libertad,5.0,616.0,6472.0
2004,lambayeque,10.0,4663.0,135400.0
2004,lima_provincia,35.0,9034.0,187440.0
2004,loreto,0.0,6.0,48.0
2004,moquegua,2.0,872.0,13920.0
2004,pasco,3.0,894.0,13416.0
2004,piura,13.0,1467.0,20152.0
2004,puno,0.0,7.0,64.0
2004,tacna,3.0,749.0,8584.0
2004,tumbes,3.0,92.0,760.0
2004,ucayali,0.0,14.0,144.0
2005,ancash,4.0,445.0,7606.0
2005,apurimac,0.0,26.0,1456.0
2005,arequipa,2.0,614.0,20264.0
2005,ayacucho,0.0,42.0,2352.0
2005,cajamarca,2.0,112.0,3104.0
2005,callao,3.0,1575.0,44176.0
2005,cusco,0.0,292.0,15168.0
2005,huancavelica,0.0,22.0,1232.0
2005,huanuco,0.0,89.0,2872.0
2005,ica,3.0,922.0,40960.0
2005,junin,4.0,1267.0,45344.0
2005,la_libertad,5.0,638.0,14448.0
2005,lambayeque,5.0,4836.0,64528.0
2005,lima_provincia,21.0,5831.0,142048.0
2005,loreto,0.0,134.0,5592.0
2005,moquegua,1.0,836.0,14888.0
2005,pasco,3.0,1315.0,61592.0
2005,piura,13.0,1333.0,25224.0
2005,puno,0.0,24.0,1440.0
2005,san_martin,0.0,12.0,672.0
2005,tacna,1.0,118.0,3844.0
2005,tumbes,1.0,62.0,1120.0
2005,ucayali,0.0,28.0,1568.0
2006,ancash,6.0,1590.0,57346.0
2006,arequipa,5.0,1226.0,17992.0
2006,cajamarca,1.0,101.0,808.0
2006,callao,7.0,2950.0,25288.0
2006,huancavelica,1.0,947.0,15152.0
2006,ica,7.0,1774.0,104240.0
2006,junin,1.0,170.0,8168.0
2006,la_libertad,5.0,2577.0,131544.0
2006,lambayeque,4.0,914.0,7312.0
2006,lima_provincia,16.0,6898.0,57936.0
2006,loreto,2.0,191.0,2416.0
2006,moquegua,3.0,451.0,9240.0
2006,piura,15.0,2668.0,33966.0
2006,tacna,1.0,58.0,464.0
2007,ancash,10.0,1476.0,30968.0
2007,arequipa,3.0,1626.0,39584.0
2007,ayacucho,0.0,45.0,360.0
2007,cajamarca,0.0,109.0,1744.0
2007,callao,6.0,1894.0,74816.0
2007,huancavelica,0.0,448.0,11968.0
2007,huanuco,2.0,3713.0,212152.0
2007,ica,5.0,3460.0,133840.0
2007,junin,2.0,1713.0,43592.0
2007,la_libertad,3.0,907.0,7256.0
2007,lambayeque,4.0,632.0,10088.0
2007,lima_provincia,23.0,19033.0,1263544.0
2007,loreto,0.0,0.0,0.0
2007,moquegua,6.0,5950.0,246768.0
2007,pasco,3.0,5173.0,70368.0
2007,piura,8.0,705.0,10160.0
2007,puno,0.0,630.0,15360.0
2007,tacna,2.0,2024.0,107728.0
2007,tumbes,2.0,452.0,11040.0
2008,arequipa,10.0,2895.0,123856.0
2008,ayacucho,1.0,57.0,2736.0
2008,callao,5.0,876.0,10648.0
2008,huancavelica,2.0,1380.0,22080.0
2008,huanuco,5.0,2450.0,106800.0
2008,ica,2.0,798.0,44928.0
2008,junin,10.0,3751.0,147192.0
2008,la_libertad,2.0,1831.0,101048.0
2008,lambayeque,3.0,180.0,1440.0
2008,lima_provincia,21.0,18498.0,850080.0
2008,pasco,4.0,1246.0,110336.0
2008,piura,1.0,310.0,2480.0
2008,tumbes,2.0,517.0,7200.0
2009,ancash,10.0,2176.0,65712.0
2009,apurimac,2.0,1217.0,38944.0
2009,arequipa,10.0,3858.0,192960.0
2009,ayacucho,2.0,1800.0,50400.0
2009,callao,3.0,1326.0,17200.0
2009,huancavelica,1.0,329.0,18424.0
2009,huanuco,4.0,3540.0,423680.0
2009,ica,4.0,3817.0,242024.0
2009,junin,6.0,1263.0,31544.0
2009,la_libertad,9.0,4713.0,60448.0
2009,lambayeque,12.0,3232.0,39072.0
2009,lima_provincia,24.0,5180.0,133792.0
2009,otros,2.0,2364.0,36336.0
2009,pasco,4.0,1618.0,47624.0
2009,piura,11.0,3371.0,107842.0
2010,ancash,3.0,337.0,7880.0
2010,arequipa,13.0,5151.0,167904.0
2010,cusco,1.0,94.0,2880.0
2010,huancavelica,5.0,1370.0,84080.0
2010,ica,4.0,2785.0,165936.0
2010,junin,5.0,2155.0,83992.0
2010,la_libertad,3.0,2073.0,203280.0
2010,lambayeque,1.0,556.0,9168.0
2010,lima_provincia,36.0,12533.0,305268.0
2010,pasco,7.0,1810.0,50960.0
2010,piura,4.0,1552.0,181192.0
2010,san_martin,1.0,98.0,14344.0
2011,ancash,6.0,1139.0,67880.0
2011,arequipa,12.0,4274.0,427240.0
2011,callao,5.0,573.0,19080.0
2011,cusco,1.0,1779.0,23224.0
2011,huancavelica,1.0,350.0,8400.0
2011,ica,2.0,1306.0,224128.0
2011,junin,8.0,2408.0,46640.0
2011,la_libertad,1.0,209.0,10600.0
2011,lambayeque,3.0,447.0,15736.0
2011,lima_metropolitana,27.0,9020.0,543184.0
2011,lima_provincia,6.0,2920.0,312528.0
2011,pasco,7.0,1104.0,44168.0
2011,piura,4.0,1148.0,54672.0
2011,san_martin,1.0,85.0,1360.0
2011,tacna,0.0,3.0,216.0
2011,ucayali,0.0,5.0,360.0
2012,ancash,4.0,869.0,40626.0
2012,apurimac,0.0,80.0,9110.0
2012,arequipa,13.0,2865.0,222032.0
2012,ayacucho,0.0,77.0,1096.0
2012,cajamarca,0.0,19.0,1772.0
2012,callao,0.0,387.0,35938.0
2012,cusco,0.0,656.0,26280.0
2012,huancavelica,1.0,627.0,21058.0
2012,huanuco,0.0,35.0,5360.0
2012,ica,2.0,1791.0,309638.0
2012,junin,10.0,3062.0,44510.0
2012,la_libertad,6.0,2905.0,89142.0
2012,lambayeque,4.0,721.0,43984.0
2012,lima_metropolitana,30.0,5964.0,304258.0
2012,lima_provincia,7.0,2057.0,203068.0
2012,loreto,0.0,61.0,984.0
2012,moquegua,3.0,341.0,5592.0
2012,pasco,8.0,1726.0,433804.0
2012,piura,0.0,182.0,19552.0
2012,puno,0.0,126.0,11814.0
2012,san_martin,0.0,363.0,12032.0
2012,tacna,1.0,686.0,16874.0
2012,tumbes,0.0,122.0,8276.0
2012,ucayali,0.0,98.0,10102.0
2013,ancash,2.0,293.0,13902.0
2013,apurimac,0.0,25.0,1504.0
2013,arequipa,13.0,2265.0,246702.0
2013,ayacucho,1.0,175.0,6952.0
2013,cajamarca,1.0,18.0,1120.0
2013,callao,8.0,821.0,21974.0
2013,cusco,2.0,604.0,17764.0
2013,huancavelica,2.0,1335.0,186760.0
2013,huanuco,1.0,214.0,71810.0
2013,ica,4.0,1294.0,216118.0
2013,junin,2.0,1220.0,27054.0
2013,la_libertad,9.0,3074.0,78648.0
2013,lambayeque,5.0,1666.0,28632.0
2013,lima_metropolitana,24.0,5730.0,197042.0
2013,lima_provincia,7.0,5377.0,336630.0
2013,moquegua,0.0,18.0,988.0
2013,pasco,6.0,1177.0,79538.0
2013,piura,2.0,332.0,12256.0
2013,puno,1.0,220.0,6890.0
2013,san_martin,2.0,322.0,10036.0
2013,tacna,2.0,515.0,8082.0
2013,tumbes,0.0,3.0,72.0
2013,ucayali,0.0,9.0,240.0
2014,ancash,6.0,4501.0,523006.0
2014,arequipa,8.0,4988.0,370064.0
2014,callao,3.0,1155.0,131708.0
2014,cusco,1.0,1660.0,26560.0
2014,huancavelica,2.0,1383.0,149536.0
2014,huanuco,6.0,1381.0,101192.0
2014,ica,5.0,3183.0,200460.0
2014,junin,8.0,2128.0,174472.0
2014,la_libertad,2.0,3314.0,186316.0
2014,lambayeque,2.0,1783.0,144664.0
2014,lima_metropolitana,43.0,10971.0,828640.0
2014,lima_provincia,5.0,2959.0,195396.0
2014,moquegua,0.0,94.0,3244.0
2014,pasco,2.0,224.0,5840.0
2014,piura,2.0,213.0,6552.0
2014,puno,0.0,120.0,1920.0
2014,san_martin,0.0,173.0,30640.0
2014,tacna,0.0,441.0,71488.0
2015,arequipa,2.0,185.0,4040.0
2015,callao,1.0,602.0,96016.0
2015,cusco,1.0,51.0,408.0
2015,huancavelica,1.0,683.0,32784.0
2015,huanuco,0.0,889.0,35424.0
2015,ica,5.0,2524.0,230800.0
2015,la_libertad,1.0,3000.0,288000.0
2015,lambayeque,4.0,1796.0,26656.0
2015,lima_metropolitana,23.0,16836.0,458744.0
2015,lima_provincia,1.0,2500.0,520000.0
2015,loreto,0.0,209.0,1672.0
2015,piura,7.0,1336.0,10688.0
2015,puno,0.0,700.0,39200.0
2015,san_martin,1.0,755.0,181200.0
2016,apurimac,0.0,187.0,49952.0
2016,arequipa,2.0,641.0,46256.0
2016,ayacucho,0.0,125.0,32000.0
