anio,modulo,hoja_excel,categoria_original,categoria_homologada_fina,categoria_homologada_agregada,regla_homologacion,nivel_territorial,territorio_padre,huelgas,pct_huelgas,trabajadores_comprendidos,pct_trabajadores,horas_hombre_perdidas,pct_horas,flag_hhp_arrastre,flag_faltante_fuente,flag_paro_nacional_registrado_lima,nota_fuente,archivo_homologado,carpeta_bloque,tipo_anio
2003,calificacion,C-7,CON AUTO DE ILEGALIDAD,ilegal,ilegal,improcedente/ilegalidad -> ilegal,,,64.0,,17702.0,,275722.0,,0,0,0,FUENTE : MINISTERIO DE TRABAJO Y PROMOCION DEL EMPLEO | ELABORADO : OFICINA DE ESTADISTICA E INFORMATICA / OFICINA DE ESTADISTICA | 2003: calificacion leida desde C-7.,huelgas_2003_homologado.xlsx,era2_homologados_2000_2003,completo
2003,calificacion,C-7,CONFORME ART. 73 DEL D.L. 25593,procedente,procedente,conforme/procedencia -> procedente,,,4.0,,19621.0,,605640.0,,0,0,0,FUENTE : MINISTERIO DE TRABAJO Y PROMOCION DEL EMPLEO | ELABORADO : OFICINA DE ESTADISTICA E INFORMATICA / OFICINA DE ESTADISTICA | 2003: calificacion leida desde C-7.,huelgas_2003_homologado.xlsx,era2_homologados_2000_2003,completo
2004,calificacion,C-7,CON AUTO DE ILEGALIDAD,ilegal,ilegal,improcedente/ilegalidad -> ilegal,,,104.0,,28033.0,,491696.0,,0,0,0,FUENTE : MINISTERIO DE TRABAJO Y PROMOCION DEL EMPLEO | ELABORADO : OFICINA DE ESTADISTICA E INFORMATICA / OFICINA DE ESTADISTICA,huelgas_2004_homologado.xlsx,era2_homologados_2004_2020,completo
2004,calificacion,C-7,CONFORME ART. 73 DEL D.L. Nº 25593,procedente,procedente,conforme/procedencia -> procedente,,,3.0,,1240.0,,90632.0,,0,0,0,FUENTE : MINISTERIO DE TRABAJO Y PROMOCION DEL EMPLEO | ELABORADO : OFICINA DE ESTADISTICA E INFORMATICA / OFICINA DE ESTADISTICA,huelgas_2004_homologado.xlsx,era2_homologados_2004_2020,completo
2005,calificacion,C-7,CON AUTO DE ILEGALIDAD,ilegal,ilegal,improcedente/ilegalidad -> ilegal,,,63.0,,18491.0,,450242.0,,0,0,0,FUENTE : MINISTERIO DE TRABAJO Y PROMOCION DEL EMPLEO | ELABORADO : OFICINA DE ESTADISTICA E INFORMATICA / OFICINA DE ESTADISTICA,huelgas_2005_homologado.xlsx,era2_homologados_2004_2020,completo
2005,calificacion,C-7,CONFORME ART. 73 DEL D.L. Nº 25593,procedente,procedente,conforme/procedencia -> procedente,,,2.0,,531.0,,28496.0,,0,0,0,FUENTE : MINISTERIO DE TRABAJO Y PROMOCION DEL EMPLEO | ELABORADO : OFICINA DE ESTADISTICA E INFORMATICA / OFICINA DE ESTADISTICA,huelgas_2005_homologado.xlsx,era2_homologados_2004_2020,completo
2006,calificacion,C-7,CON AUTO DE ILEGALIDAD,ilegal,ilegal,improcedente/ilegalidad -> ilegal,,,65.0,,18847.0,,398192.0,,0,0,0,FUENTE : MINISTERIO DE TRABAJO Y PROMOCIÓN DEL EMPLEO | ELABORADO : OFICINA DE ESTADÍSTICA E INFORMÁTICA / OFICINA DE ESTADÍSTICA,huelgas_2006_homologado.xlsx,era2_homologados_2004_2020,completo
2006,calificacion,C-7,CONFORME ART. 73 DEL D.L. 25593,procedente,procedente,conforme/procedencia -> procedente,,,2.0,,718.0,,48392.0,,0,0,0,FUENTE : MINISTERIO DE TRABAJO Y PROMOCIÓN DEL EMPLEO | ELABORADO : OFICINA DE ESTADÍSTICA E INFORMÁTICA / OFICINA DE ESTADÍSTICA,huelgas_2006_homologado.xlsx,era2_homologados_2004_2020,completo
2007,calificacion,C-7,CON AUTO DE ILEGALIDAD,ilegal,ilegal,improcedente/ilegalidad -> ilegal,,,71.0,,46844.0,,2147944.0,,0,0,0,FUENTE : MINISTERIO DE TRABAJO Y PROMOCIÓN DEL EMPLEO | ELABORADO : OFICINA DE ESTADÍSTICA E INFORMÁTICA / OFICINA DE ESTADÍSTICA,huelgas_2007_homologado.xlsx,era2_homologados_2004_2020,completo
2007,calificacion,C-7,CONFORME ART. 73 DEL D.L. 25593,procedente,procedente,conforme/procedencia -> procedente,,,2.0,,1252.0,,68576.0,,0,0,0,FUENTE : MINISTERIO DE TRABAJO Y PROMOCIÓN DEL EMPLEO | ELABORADO : OFICINA DE ESTADÍSTICA E INFORMÁTICA / OFICINA DE ESTADÍSTICA,huelgas_2007_homologado.xlsx,era2_homologados_2004_2020,completo
2008,calificacion,C-7,CON AUTO DE ILEGALIDAD,ilegal,ilegal,improcedente/ilegalidad -> ilegal,,,59.0,,32787.0,,1446000.0,,0,0,0,FUENTE : MINISTERIO DE TRABAJO Y PROMOCIÓN DEL EMPLEO | ELABORADO : OFICINA DE ESTADÍSTICA E INFORMÁTICA / OFICINA DE ESTADÍSTICA,huelgas_2008_homologado.xlsx,era2_homologados_2004_2020,completo
2008,calificacion,C-7,CONFORME TUO D.S. Nº 010 - 2003 - TR,procedente,procedente,conforme/procedencia -> procedente,,,4.0,,1224.0,,74960.0,,0,0,0,FUENTE : MINISTERIO DE TRABAJO Y PROMOCIÓN DEL EMPLEO | ELABORADO : OFICINA DE ESTADÍSTICA E INFORMÁTICA / OFICINA DE ESTADÍSTICA,huelgas_2008_homologado.xlsx,era2_homologados_2004_2020,completo
2009,calificacion,C-7,CON AUTO DE ILEGALIDAD,ilegal,ilegal,improcedente/ilegalidad -> ilegal,,,91.0,,32603.0,,1066370.0,,0,0,0,FUENTE : MINISTERIO DE TRABAJO Y PROMOCIÓN DEL EMPLEO / OFICINA DE ESTADÍSTICA E INFORMÁTICA / OFICINA DE ESTADÍSTICA,huelgas_2009_homologado.xlsx,era2_homologados_2004_2020,completo
2009,calificacion,C-7,CONFORME TUO D.S. Nº 010 - 2003 - TR,procedente,procedente,conforme/procedencia -> procedente,,,8.0,,3511.0,,386096.0,,0,0,0,FUENTE : MINISTERIO DE TRABAJO Y PROMOCIÓN DEL EMPLEO / OFICINA DE ESTADÍSTICA E INFORMÁTICA / OFICINA DE ESTADÍSTICA,huelgas_2009_homologado.xlsx,era2_homologados_2004_2020,completo
2010,calificacion,C-7,CON AUTO DE ILEGALIDAD,ilegal,ilegal,improcedente/ilegalidad -> ilegal,,,70.0,,26437.0,,1043316.0,,0,0,0,FUENTE : MINISTERIO DE TRABAJO Y PROMOCIÓN DEL EMPLEO / OGETIC / OFICINA DE ESTADÍSTICA,huelgas_2010_homologado.xlsx,era2_homologados_2004_2020,completo
2010,calificacion,C-7,CONFORME TUO D.S. Nº 010 - 2003 - TR,procedente,procedente,conforme/procedencia -> procedente,,,13.0,,4169.0,,236064.0,,0,0,0,FUENTE : MINISTERIO DE TRABAJO Y PROMOCIÓN DEL EMPLEO / OGETIC / OFICINA DE ESTADÍSTICA,huelgas_2010_homologado.xlsx,era2_homologados_2004_2020,completo
2011,calificacion,C-7,ILEGALIDAD,ilegal,ilegal,improcedente/ilegalidad -> ilegal,,,65.0,,20932.0,,1022288.0,,0,0,0,FUENTE : MINISTERIO DE TRABAJO Y PROMOCIÓN DEL EMPLEO / OGETIC / OFICINA DE ESTADÍSTICA,huelgas_2011_homologado.xlsx,era2_homologados_2004_2020,completo
2011,calificacion,C-7,CONFORMIDAD,procedente,procedente,conforme/procedencia -> procedente,,,19.0,,5838.0,,777128.0,,0,0,0,FUENTE : MINISTERIO DE TRABAJO Y PROMOCIÓN DEL EMPLEO / OGETIC / OFICINA DE ESTADÍSTICA,huelgas_2011_homologado.xlsx,era2_homologados_2004_2020,completo
2012,calificacion,C-7,ILEGALIDAD,ilegal,ilegal,improcedente/ilegalidad -> ilegal,,,74.0,,21843.0,,1185736.0,,0,0,0,FUENTE : MINISTERIO DE TRABAJO Y PROMOCIÓN DEL EMPLEO / OGETIC / OFICINA DE ESTADÍSTICA,huelgas_2012_homologado.xlsx,era2_homologados_2004_2020,completo
2012,calificacion,C-7,CONFORMIDAD,procedente,procedente,conforme/procedencia -> procedente,,,15.0,,4002.0,,692960.0,,0,0,0,FUENTE : MINISTERIO DE TRABAJO Y PROMOCIÓN DEL EMPLEO / OGETIC / OFICINA DE ESTADÍSTICA,huelgas_2012_homologado.xlsx,era2_homologados_2004_2020,completo
2013,calificacion,C-7,IMPROCEDENTE - ILEGALIDAD,ilegal,ilegal,improcedente/ilegalidad -> ilegal,,,69.0,,20858.0,,1134272.0,,0,0,0,FUENTE : MINISTERIO DE TRABAJO Y PROMOCIÓN DEL EMPLEO / OGETIC / OFICINA DE ESTADÍSTICA,huelgas_2013_homologado.xlsx,era2_homologados_2004_2020,completo
2013,calificacion,C-7,PROCEDENTE,procedente,procedente,procedente -> procedente,,,25.0,,5878.0,,438930.0,,0,0,0,FUENTE : MINISTERIO DE TRABAJO Y PROMOCIÓN DEL EMPLEO / OGETIC / OFICINA DE ESTADÍSTICA,huelgas_2013_homologado.xlsx,era2_homologados_2004_2020,completo
2014,calificacion,C-7,IMPROCEDENTE - ILEGALIDAD,ilegal,ilegal,improcedente/ilegalidad -> ilegal,,,80.0,,37102.0,,2745938.0,,0,0,0,FUENTE : MINISTERIO DE TRABAJO Y PROMOCIÓN DEL EMPLEO / OGETIC / OFICINA DE ESTADÍSTICA,huelgas_2014_homologado.xlsx,era2_homologados_2004_2020,completo
2014,calificacion,C-7,PROCEDENTE,procedente,procedente,procedente -> procedente,,,15.0,,3579.0,,407080.0,,0,0,0,FUENTE : MINISTERIO DE TRABAJO Y PROMOCIÓN DEL EMPLEO / OGETIC / OFICINA DE ESTADÍSTICA,huelgas_2014_homologado.xlsx,era2_homologados_2004_2020,completo
2015,calificacion,C-7,IMPROCEDENTE - ILEGALIDAD,ilegal,ilegal,improcedente/ilegalidad -> ilegal,,,41.0,,30624.0,,1660440.0,,0,0,0,FUENTE : MINISTERIO DE TRABAJO Y PROMOCIÓN DEL EMPLEO / OGETIC / OFICINA DE ESTADÍSTICA,huelgas_2015_homologado.xlsx,era2_homologados_2004_2020,completo
2015,calificacion,C-7,PROCEDENTE,procedente,procedente,procedente -> procedente,,,6.0,,1442.0,,265192.0,,0,0,0,FUENTE : MINISTERIO DE TRABAJO Y PROMOCIÓN DEL EMPLEO / OGETIC / OFICINA DE ESTADÍSTICA,huelgas_2015_homologado.xlsx,era2_homologados_2004_2020,completo
2016,calificacion,C-7,IMPROCEDENTE - ILEGALIDAD,ilegal,ilegal,improcedente/ilegalidad -> ilegal,,,38.0,,19118.0,,2839376.0,,0,0,0,FUENTE : MINISTERIO DE TRABAJO Y PROMOCIÓN DEL EMPLEO / OGETIC / OFICINA DE ESTADÍSTICA,huelgas_2016_homologado.xlsx,era2_homologados_2004_2020,completo
