anio,archivo_homologado,carpeta_bloque,tipo_anio,hojas_presentes,validaciones_revisar
2006,huelgas_2006_homologado.xlsx,era2_homologados_2004_2020,completo,"resumen, actividad, territorio, causas, calificacion, organizacion, tamano, duracion, diccionario_aplicado, observaciones_fuente, validacion",0
2007,huelgas_2007_homologado.xlsx,era2_homologados_2004_2020,completo,"resumen, actividad, territorio, causas, calificacion, organizacion, tamano, duracion, diccionario_aplicado, observaciones_fuente, validacion",0
2008,huelgas_2008_homologado.xlsx,era2_homologados_2004_2020,completo,"resumen, actividad, territorio, causas, calificacion, organizacion, tamano, duracion, diccionario_aplicado, observaciones_fuente, validacion",0
2009,huelgas_2009_homologado.xlsx,era2_homologados_2004_2020,completo,"resumen, actividad, territorio, causas, calificacion, organizacion, tamano, duracion, diccionario_aplicado, observaciones_fuente, validacion",0
2010,huelgas_2010_homologado.xlsx,era2_homologados_2004_2020,completo,"resumen, actividad, territorio, causas, calificacion, organizacion, tamano, duracion, diccionario_aplicado, observaciones_fuente, validacion",0
2011,huelgas_2011_homologado.xlsx,era2_homologados_2004_2020,completo,"resumen, actividad, territorio, causas, calificacion, organizacion, tamano, duracion, diccionario_aplicado, observaciones_fuente, validacion",0
2012,huelgas_2012_homologado.xlsx,era2_homologados_2004_2020,completo,"resumen, actividad, territorio, causas, calificacion, organizacion, tamano, duracion, diccionario_aplicado, observaciones_fuente, validacion",0
2013,huelgas_2013_homologado.xlsx,era2_homologados_2004_2020,completo,"resumen, actividad, territorio, causas, calificacion, organizacion, tamano, duracion, diccionario_aplicado, observaciones_fuente, validacion",0
2014,huelgas_2014_homologado.xlsx,era2_homologados_2004_2020,completo,"resumen, actividad, territorio, causas, calificacion, organizacion, tamano, duracion, diccionario_aplicado, observaciones_fuente, validacion",0
2015,huelgas_2015_homologado.xlsx,era2_homologados_2004_2020,completo,"resumen, actividad, territorio, causas, calificacion, organizacion, tamano, duracion, diccionario_aplicado, observaciones_fuente, validacion",0
2016,huelgas_2016_homologado.xlsx,era2_homologados_2004_2020,completo,"resumen, actividad, territorio, causas, calificacion, organizacion, tamano, duracion, diccionario_aplicado, observaciones_fuente, validacion",0
2017,huelgas_2017_homologado.xlsx,era2_homologados_2004_2020,completo,"resumen, actividad, territorio, causas, calificacion, organizacion, tamano, duracion, diccionario_aplicado, observaciones_fuente, validacion",0
2018,huelgas_2018_homologado.xlsx,era2_homologados_2004_2020,completo,"resumen, actividad, territorio, causas, calificacion, organizacion, tamano, duracion, diccionario_aplicado, observaciones_fuente, validacion",0
2019,huelgas_2019_homologado.xlsx,era2_homologados_2004_2020,completo,"resumen, actividad, territorio, causas, calificacion, organizacion, tamano, duracion, diccionario_aplicado, observaciones_fuente, validacion",0
2020,huelgas_2020_homologado.xlsx,era2_homologados_2004_2020,completo,"resumen, actividad, territorio, causas, calificacion, organizacion, tamano, duracion, diccionario_aplicado, observaciones_fuente, validacion",0
2021,huelgas_2021_homologado.xlsx,era3_homologados,completo,"resumen, actividad, territorio, causas, calificacion, organizacion, tamano, duracion, diccionario_aplicado, observaciones_fuente, validacion",0
2022,huelgas_2022_homologado.xlsx,era3_homologados,completo,"resumen, actividad, territorio, causas, calificacion, organizacion, tamano, duracion, diccionario_aplicado, observaciones_fuente, validacion",0
2023,huelgas_2023_homologado.xlsx,era3_homologados,completo,"resumen, actividad, territorio, causas, calificacion, organizacion, tamano, duracion, diccionario_aplicado, observaciones_fuente, validacion",0
2024,huelgas_2024_homologado.xlsx,era3_homologados,completo,"resumen, actividad, territorio, causas, calificacion, organizacion, tamano, duracion, diccionario_aplicado, observaciones_fuente, validacion",0
