anio,categoria_homologada_agregada,huelgas,trabajadores_comprendidos,horas_hombre_perdidas
2009,salud_social,7.0,385.0,10216.0
2009,transporte,9.0,1957.0,36272.0
2010,adm_publica,5.0,1083.0,20512.0
2010,agricultura,1.0,250.0,27968.0
2010,comercio,4.0,698.0,6208.0
2010,construccion,4.0,530.0,20040.0
2010,electricidad_agua,5.0,2493.0,53048.0
2010,manufactura,22.0,6199.0,341952.0
2010,mineria,36.0,16377.0,613540.0
2010,otros_servicios,1.0,223.0,5352.0
2010,salud_social,1.0,22.0,176.0
2010,transporte,4.0,2731.0,190584.0
2011,adm_publica,3.0,655.0,30496.0
2011,agricultura,1.0,160.0,1280.0
2011,comercio,2.0,96.0,1520.0
2011,construccion,10.0,2629.0,33496.0
2011,electricidad_agua,2.0,1660.0,39160.0
2011,ensenanza,1.0,34.0,544.0
2011,financiero,1.0,70.0,1120.0
2011,inmobiliario,1.0,64.0,512.0
2011,manufactura,24.0,5858.0,328816.0
2011,mineria,30.0,14416.0,1308808.0
2011,pesca,1.0,30.0,240.0
2011,transporte,8.0,1098.0,53424.0
2012,adm_publica,12.0,3555.0,29624.0
2012,agricultura,2.0,116.0,5104.0
2012,comercio,5.0,1151.0,11496.0
2012,construccion,5.0,250.0,3520.0
2012,electricidad_agua,2.0,279.0,2896.0
2012,ensenanza,1.0,15.0,120.0
2012,financiero,4.0,352.0,4192.0
2012,inmobiliario,2.0,320.0,10688.0
2012,manufactura,13.0,5286.0,212656.0
2012,mineria,30.0,9049.0,1034080.0
2012,otros_servicios,4.0,148.0,15296.0
2012,pesca,1.0,113.0,904.0
2012,salud_social,3.0,4085.0,439154.0
2012,transporte,5.0,1126.0,108966.0
2013,adm_publica,7.0,771.0,27688.0
2013,agricultura,2.0,225.0,6720.0
2013,comercio,3.0,1737.0,41688.0
2013,construccion,2.0,482.0,10576.0
2013,electricidad_agua,2.0,190.0,1520.0
2013,ensenanza,2.0,601.0,31344.0
2013,financiero,1.0,1374.0,30856.0
2013,inmobiliario,1.0,334.0,13360.0
2013,manufactura,28.0,6388.0,269400.0
2013,mineria,33.0,12144.0,1057074.0
